year,patcnty,agegrp,count
2009,Sutter,Older Mothers (35 years old or older),166
2009,Sutter,Teen Mothers (15 years old to 19 years old),132
2009,Sutter,Typical Aged Mothers (20 years old to 34 years old),1109
2009,Tehama,Total Births,761
2009,Tehama,Older Mothers (35 years old or older),65
2009,Tehama,Teen Mothers (15 years old to 19 years old),109
2009,Tehama,Typical Aged Mothers (20 years old to 34 years old),586
2009,Tulare,Total Births,8224
2009,Tulare,Older Mothers (35 years old or older),838
2009,Tulare,Teen Mothers (15 years old to 19 years old),1249
2009,Tulare,Typical Aged Mothers (20 years old to 34 years old),6116
2009,Ventura,Total Births,11115
2009,Ventura,Older Mothers (35 years old or older),1861
2009,Ventura,Teen Mothers (15 years old to 19 years old),1078
2009,Ventura,Typical Aged Mothers (20 years old to 34 years old),8156
2009,Yolo,Total Births,2448
2009,Yolo,Older Mothers (35 years old or older),439
2009,Yolo,Teen Mothers (15 years old to 19 years old),180
2009,Yolo,Typical Aged Mothers (20 years old to 34 years old),1829
2009,Yuba,Total Births,1192
2009,Yuba,Older Mothers (35 years old or older),108
2009,Yuba,Teen Mothers (15 years old to 19 years old),129
2009,Yuba,Typical Aged Mothers (20 years old to 34 years old),955
2010,Alameda,Total Births,18800
2010,Alameda,Older Mothers (35 years old or older),4407
2010,Alameda,Teen Mothers (15 years old to 19 years old),1056
2010,Alameda,Typical Aged Mothers (20 years old to 34 years old),13326
2010,Butte,Total Births,2383
2010,Butte,Older Mothers (35 years old or older),248
2010,Butte,Teen Mothers (15 years old to 19 years old),204
2010,Butte,Typical Aged Mothers (20 years old to 34 years old),1927
2010,Calaveras,Total Births,329
2010,Calaveras,Older Mothers (35 years old or older),39
2010,Calaveras,Teen Mothers (15 years old to 19 years old),34
2010,Calaveras,Typical Aged Mothers (20 years old to 34 years old),256
2010,Colusa,Total Births,331
2010,Colusa,Older Mothers (35 years old or older),42
2010,Colusa,Teen Mothers (15 years old to 19 years old),32
2010,Colusa,Typical Aged Mothers (20 years old to 34 years old),257
2010,Contra Costa,Total Births,11942
2010,Contra Costa,Older Mothers (35 years old or older),2633
2010,Contra Costa,Teen Mothers (15 years old to 19 years old),723
2010,Contra Costa,Typical Aged Mothers (20 years old to 34 years old),8578
2010,Del Norte,Total Births,361
2010,Del Norte,Older Mothers (35 years old or older),31
2010,Del Norte,Teen Mothers (15 years old to 19 years old),66
2010,Del Norte,Typical Aged Mothers (20 years old to 34 years old),264
2010,El Dorado,Total Births,1519
2010,El Dorado,Older Mothers (35 years old or older),289
2010,El Dorado,Teen Mothers (15 years old to 19 years old),94
2010,El Dorado,Typical Aged Mothers (20 years old to 34 years old),1136
2010,Fresno,Total Births,16060
2010,Fresno,Older Mothers (35 years old or older),1912
2010,Fresno,Teen Mothers (15 years old to 19 years old),2025
2010,Fresno,Typical Aged Mothers (20 years old to 34 years old),12101
2010,Glenn,Total Births,425
2010,Glenn,Older Mothers (35 years old or older),42
2010,Glenn,Teen Mothers (15 years old to 19 years old),42
2010,Glenn,Typical Aged Mothers (20 years old to 34 years old),341
2010,Humboldt,Total Births,1469
2010,Humboldt,Older Mothers (35 years old or older),187
2010,Humboldt,Teen Mothers (15 years old to 19 years old),123
2010,Humboldt,Typical Aged Mothers (20 years old to 34 years old),1159
2010,Imperial,Total Births,3008
2010,Imperial,Older Mothers (35 years old or older),313
2010,Imperial,Teen Mothers (15 years old to 19 years old),391
2010,Imperial,Typical Aged Mothers (20 years old to 34 years old),2301
2010,Inyo,Total Births,184
2010,Inyo,Older Mothers (35 years old or older),28
2010,Inyo,Teen Mothers (15 years old to 19 years old),15
2010,Inyo,Typical Aged Mothers (20 years old to 34 years old),141
2010,Kern,Total Births,14112
2010,Kern,Older Mothers (35 years old or older),1448
2010,Kern,Teen Mothers (15 years old to 19 years old),1988
2010,Kern,Typical Aged Mothers (20 years old to 34 years old),10659
2010,Kings,Total Births,2047
2010,Kings,Older Mothers (35 years old or older),167
2010,Kings,Teen Mothers (15 years old to 19 years old),272
2010,Kings,Typical Aged Mothers (20 years old to 34 years old),1606
2010,Lake,Total Births,677
2010,Lake,Older Mothers (35 years old or older),58
2010,Lake,Teen Mothers (15 years old to 19 years old),85
2010,Lake,Typical Aged Mothers (20 years old to 34 years old),534
2010,Lassen,Total Births,269
2010,Lassen,Older Mothers (35 years old or older),25
2010,Lassen,Teen Mothers (15 years old to 19 years old),31
2010,Lassen,Typical Aged Mothers (20 years old to 34 years old),213
2010,Los Angeles,Total Births,130369
2010,Los Angeles,Older Mothers (35 years old or older),25618
2010,Los Angeles,Teen Mothers (15 years old to 19 years old),11617
2010,Los Angeles,Typical Aged Mothers (20 years old to 34 years old),93023
2010,Madera,Total Births,2462
2010,Madera,Older Mothers (35 years old or older),254
2010,Madera,Teen Mothers (15 years old to 19 years old),320
2010,Madera,Typical Aged Mothers (20 years old to 34 years old),1885
2010,Marin,Total Births,2262
2010,Marin,Older Mothers (35 years old or older),859
2010,Marin,Teen Mothers (15 years old to 19 years old),76
2010,Marin,Typical Aged Mothers (20 years old to 34 years old),1326
